14002,PARAG.DEL.FORD ECOSPORT 03/07 NEGRO S/AUX,,PARAGOLPES,FORD,NACIONAL,1030.03,NO,NO
14004,PARAG.DEL.FORD ESCORT 89/95 C/U?AS GRIS,,PARAGOLPES,FORD,MUNDOPLS,2077.20,NO,NO
14005,PARAG.DEL.FORD ESCORT 89/95 C/U?AS NEGRO,,PARAGOLPES,FORD,MUNDOPLS,2144.21,NO,NO
14006,PARAG.DEL.FORD ESCORT 89/95 S/U?AS GRIS,,PARAGOLPES,FORD,NACIONAL,1293.82,NO,NO
14007,PARAG.DEL.FORD ESCORT 89/95 S/U?AS NEGRO,,PARAGOLPES,FORD,MUNDOPLS,1246.50,NO,NO
14008,PARAG.DEL.FORD ESCORT 97/03 C/PRIMER,,PARAGOLPES,FORD,NACIONAL,1915.52,NO,NO
14009,PARAG.DEL.FORD ESCORT 97/03  NEGRO,,PARAGOLPES,FORD,NACIONAL,1252.62,NO,NO
14011,PARAG.DEL.FORD F100 68/80 CROMADO,,PARAGOLPES,FORD,TESGA,2705.22,NO,NO
14012,PARAG.DEL.FORD F100 68/80 S/CROMAR,,PARAGOLPES,FORD,NOVI,1394.72,NO,NO
14013,PARAG.DEL FORD F100 81/87 CROMADO,,PARAGOLPES,FORD,TESGA,2863.42,NO,NO
14014,PARAG.DEL.FORD F100 81/87 S/CROMAR,,PARAGOLPES,FORD,NOVI,1394.72,NO,NO
14015,PARAG.DEL.FORD F100 88/96 CROMADO,,PARAGOLPES,FORD,NOVI,4617.51,NO,NO
14016,PARAG.DEL.FORD F100 88/96 S/CROMAR,,PARAGOLPES,FORD,ORIGINAL,3315.23,NO,NO
14017,PARAG.DEL.FORD F100 96/99 CROMADO,,PARAGOLPES,FORD,TAIWAN,4733.18,NO,NO
14018,PARAG.DEL.FORD F100 96/99 PINTADO,,PARAGOLPES,FORD,TAIWAN,3155.46,NO,NO
14022,PARAG.DEL.FORD FALCON 77/82 CROMADO,,PARAGOLPES,FORD,TESGA,2083.44,NO,NO
140221,PARAG.DEL.CHEV.P-UP 67/70 CROMADO,,PARAGOLPES,CHEVROLET,NOVI,3590.67,NO,NO
